Flight Number|Origin|Destination|Departure|Arrival|Distance
UA3738|DEN|GRR|945|1420|1014.96
WN228|DEN|GRR|1035|1500|1014.96
UA1510|DEN|GRR|1743|2215|1014.96
UA3437|DEN|ICT|945|1214|419.94
UA5254|DEN|ICT|1315|1539|419.94
UA5846|DEN|ICT|1442|1705|419.94
UA4775|DEN|ICT|1800|2023|419.94
UA2300|DEN|ICT|2029|2248|419.94
WN687|DEN|LAX|600|745|861.34
AA6061|DEN|LAX|655|847|861.34
DL1695|DEN|LAX|700|857|861.34
UA1093|DEN|LAX|803|929|861.34
WN1352|DEN|LAX|825|1005|861.34
WN1484|DEN|LAX|1055|1235|861.34
DL2469|DEN|LAX|1100|1227|861.34
UA420|DEN|LAX|1115|1245|861.34
WN2131|DEN|LAX|1300|1435|861.34
UA1216|DEN|LAX|1305|1434|861.34
AA6087|DEN|LAX|1408|1545|861.34
UA744|DEN|LAX|1415|1546|861.34
UA481|DEN|LAX|1520|1645|861.34
WN1903|DEN|LAX|1815|1955|861.34
UA1613|DEN|LAX|1855|2029|861.34
DL2446|DEN|LAX|1929|2110|861.34
AA416|DEN|LAX|2014|2155|861.34
WN2379|DEN|LAX|2155|2330|861.34
F9409|DEN|LAX|2205|2359|861.34
UA1409|DEN|LAX|2230|2355|861.34
F91286|DEN|ORD|625|955|888.54
UA532|DEN|ORD|655|1014|888.54
UA682|DEN|ORD|800|1122|888.54
UA2385|DEN|ORD|945|1308|888.54
AA2780|DEN|ORD|1031|1359|888.54
UA336|DEN|ORD|1035|1357|888.54
UA533|DEN|ORD|1133|1455|888.54
UA263|DEN|ORD|1244|1606|888.54
UA1259|DEN|ORD|1339|1657|888.54
NK425|DEN|ORD|1355|1723|888.54
UA478|DEN|ORD|1540|1902|888.54
AA2470|DEN|ORD|1616|1947|888.54
AA2462|DEN|ORD|1743|2114|888.54
UA254|DEN|ORD|1758|2117|888.54
UA1150|DEN|ORD|2030|2349|888.54
UA5717|DEN|RDM|1116|1304|898.66
UA5828|DEN|RDM|1910|2109|898.66
UA1730|GRR|DEN|922|1021|1014.96
WN1689|GRR|DEN|1545|1645|1014.96
UA4597|GRR|DEN|1717|1817|1014.96
AA3974|GRR|ORD|556|614|136.78
UA3576|GRR|ORD|630|642|136.78
UA600|GRR|ORD|805|811|136.78
UA5959|GRR|ORD|905|920|136.78
