Flight Number|Origin|Destination|Departure|Arrival|Distance
UA1510|DEN|GRR|1743|2215|1014.96
UA3437|DEN|ICT|945|1214|419.94
AA6061|DEN|LAX|655|847|861.34
UA1216|DEN|LAX|1305|1434|861.34
AA2780|DEN|ORD|1031|1359|888.54
UA5828|DEN|RDM|1910|2109|898.66
UA1730|GRR|DEN|922|1021|1014.96
UA4061|GRR|ORD|1439|1445|136.78
UA3535|ICT|DEN|1250|1320|419.94
AA3113|ICT|ORD|543|744|587.61
WN1094|LAX|DEN|520|840|861.34
WN355|LAX|DEN|1535|1850|861.34
AA362|LAX|ORD|59|704|1744.36
AA1030|LAX|ORD|1450|2054|1744.36
UA5508|LAX|RDM|1600|1822|726.43
AA2470|ORD|DEN|1350|1531|888.54
AA3453|ORD|GRR|1500|1655|136.78
UA3830|ORD|ICT|1000|1211|587.61
NK737|ORD|LAX|945|1234|1744.36
UA411|ORD|LAX|1759|2023|1744.36
UA1186|ORD|LAX|2030|2304|1744.36
UA5781|RDM|DEN|1340|1659|898.66
UA5644|RDM|LAX|1852|2108|726.43
